Year,Ring,ID_YearBird,FID,FID_nb,Island_ID,Island_type,Breed_exp,Body_condition,ClutchSize,Eagle_index,Ad_pred_risk,Nest_pred_risk,Laying_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64006,2009-64006,1500,2,RG,Open,3,-0.020785028,5,2.9452,0,0.333333333,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64006,2009-64006,300,1,RG,Open,3,-0.020785028,5,2.9452,0,0.333333333,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,65519,2009-65519,350,1,RG,Open,2,-0.047256243,6,2.9452,0,0.333333333,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66698,2009-66698,1000,1,RO,Forested,1,-0.03647351,4,2.9452,0.1,0.6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66676,2009-66676,0,1,RO,Forested,1,0.074224077,5,2.9452,0.1,0.6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66676,2009-66676,5,2,RO,Forested,1,0.074224077,5,2.9452,0.1,0.6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,66698,2009-66698,700,2,RO,Forested,1,-0.03647351,4,2.9452,0.1,0.6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,55568,2009-55568,0,3,SKA,Forested,6,-0.012061174,7,2.9452,0.088235294,0.34375,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64054,2009-64054,10,3,SKA,Forested,3,0.039044098,6,2.9452,0.088235294,0.34375,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,64054,2009-64054,5,4,SKA,Forested,3,0.039044098,6,2.9452,0.088235294,0.34375,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
